time stock-price decision number-of-stocks portfolio-value
570 191.97 1 50 30000.0
571 192.305 5 100 30016.75
572 191.96 3 150 29982.25
573 192.45 1 150 30055.75
574 192.63 5 150 30082.75
575 192.23 1 150 30022.75
576 192.17 -1 100 30013.75
577 192.22 -1 50 30018.75
578 192.23 -1 0 30019.25
579 192.09 -1 0 30019.25
580 192.35 -3 0 30019.25
581 192.69 1 50 30019.25
582 192.51 3 100 30010.25
583 192.65 3 150 30024.25
584 192.77 3 150 30042.25
585 192.83 5 150 30051.250000000004
586 192.93 5 150 30066.25
587 192.71 1 150 30033.25
588 192.52 -1 100 30004.75
589 192.53 -3 50 30005.75
590 192.23 -5 0 29990.75
591 192.52 -3 0 29990.75
592 192.25 -3 0 29990.75
593 192.35 -1 0 29990.75
594 192.3 -1 0 29990.75
595 192.45 1 50 29990.75
596 192.64 3 100 30000.25
597 192.54 3 150 29990.25
598 192.49 1 150 29982.75
599 192.7 1 150 30014.25
600 192.67 3 150 30009.749999999996
601 192.94 3 150 30050.25
602 192.89 3 150 30042.749999999996
603 192.91 3 150 30045.75
604 193.05 3 150 30066.75
605 193.33 1 150 30108.750000000004
606 193.23 3 150 30093.75
607 193.11 1 150 30075.750000000004
608 193.21 1 150 30090.75
609 193.39 -1 100 30117.75
610 193.445 3 150 30123.25
611 193.47 5 150 30127.0
612 193.62 5 150 30149.5
613 193.515 3 150 30133.749999999996
614 193.39 1 150 30114.999999999996
615 193.45 -3 100 30124.0
616 193.51 -1 50 30130.0
617 193.7 1 100 30139.5
618 193.58 3 150 30127.500000000004
619 193.57 1 150 30126.0
620 193.63 3 150 30135.0
621 193.59 1 150 30129.0
622 193.64 1 150 30136.499999999996
623 193.815 1 150 30162.75
624 193.855 5 150 30168.75
625 193.91 5 150 30177.0
626 193.68 1 150 30142.5
627 193.71 -1 100 30147.0
628 193.65 -5 50 30141.0
629 193.84 -1 0 30150.5
630 193.55 3 50 30150.5
631 193.53 -3 0 30149.5
632 193.51 -5 0 30149.5
633 193.4 -5 0 30149.5
634 193.46 -3 0 30149.5
635 193.37 -3 0 30149.5
636 193.34 -5 0 30149.5
637 193.2 -5 0 30149.5
638 193.065 -5 0 30149.5
639 193.11 -3 0 30149.5
